Word,Frequency
a,13715
the,12100
that,9444
and,7636
it,7259
in,6996
want,6380
on,6250
you,6141
go,5249
this,5210
to,5040
my,4566
got,4265
oh,4063
one,3754
get,3549
do,3504
there,3197
not,3125
put,3003
going,2757
have,2600
some,2526
no,2454
is,2452
like,2389
he,2194
me,2188
what,1954
can,1876
another,1811
where,1674
two,1615
we,1546
come,1545
just,1449
make,1437
all,1433
for,1420
big,1398
more,1239
little,1233
they,1167
down,1103
sit,1068
your,994
up,991
see,988
need,966
play,963
baby,945
here,883
because,876
are,858
with,801
take,800
look,781
eat,779
of,763
find,727
them,707
bit,705
these,687
gonna,686
be,654
his,651
at,650
back,607
out,602
was,580
car,573
too,547
other,541
blue,537
her,535
over,509
gone,503
very,482
three,465
done,459
red,454
think,444
round,442
now,433
man,419
off,409
did,400
open,400
making,388
coming,382
shall,363
goes,353
let,352
getting,351
those,349
stand,346
green,333
does,324
read,322
doing,313
am,303
four,291
say,289
him,285
under,275
having,274
yes,273
hold,270
maybe,270
nice,268
she,261
will,252
stop,247
hello,243
turn,239
buy,234
white,231
mine,229
dear,226
but,225
when,220
had,216
who,211
wanna,210
know,202
then,201
five,199
good,199
move,195
watch,189
found,187
give,186
about,186
lost,183
right,182
went,180
sitting,177
away,175
drink,175
lady,169
only,167
been,166
please,165
cut,164
why,164
any,162
help,161
bring,157
leave,156
try,154
tea,154
run,152
how,150
poor,149
something,146
better,144
playing,143
looking,142
said,140
number,139
gotta,138
cup,138
top,135
has,135
stay,133
black,131
water,130
six,120
so,120
taking,119
wants,119
into,113
might,112
way,110
through,110
house,109
last,108
yeah,107
must,105
wait,103
wrong,101
fell,101
bought,100
by,96
keep,96
which,94
ones,93
ready,92
home,92
an,92
next,91
from,91
new,91
called,91
boy,90
fish,89
show,88
or,87
people,87
sorry,86
still,86
close,84
box,84
hair,84
seven,84
building,82
nine,80
break,78
if,77
police,77
fire,76
eight,75
made,74
hand,71
time,71
tell,70
long,69
nearly,68
really,67
hit,66
small,65
came,64
cold,62
ball,62
feet,62
head,62
past,62
daddy,61
our,61
again,60
door,60
food,58
book,57
ten,56
hear,56
after,53
somebody,53
bad,53
never,53
old,52
girl,51
things,50
bed,49
money,49
happened,46
light,46
quite,45
men,44
alright,44
saw,44
being,44
different,44
trying,43
work,43
happy,42
room,42
else,41
behind,40
mind,40
talking,40
live,39
nothing,38
dark,38
finished,38
day,38
own,37
talk,37
write,37
walk,37
story,37
mean,37
twenty,37
eyes,36
i,36
well,36
needs,36
children,34
comes,34
were,34
use,34
name,33
paper,33
course,33
could,33
left,32
lot,32
shop,32
says,32
much,32
took,31
bottom,31
lovely,30
enough,30
start,29
thing,29
same,28
post,28
outside,28
