Word,Frequency
you,4265
a,4090
the,3840
and,3282
it,3098
this,2593
to,2125
that,1761
my,1735
is,1648
we,1479
yeah,1384
in,1353
on,1225
no,1205
what,1158
do,1154
get,1128
one,1066
like,973
go,944
want,920
gonna,909
me,879
have,874
know,872
can,856
are,853
could,847
for,842
how,838
was,815
when,784
see,776
of,768
not,764
with,734
put,731
got,730
some,724
they,697
then,643
did,625
he,624
be,605
at,596
because,572
so,533
just,525
up,496
eat,495
look,487
here,480
okay,477
if,472
think,455
would,454
why,450
all,444
right,443
make,426
your,426
where,420
now,399
big,394
oh,390
come,389
need,389
will,383
little,348
two,344
going,327
these,321
play,321
there,296
too,292
out,283
down,273
more,261
good,239
take,238
those,233
really,228
saw,221
long,221
were,220
watch,205
something,204
time,201
made,193
any,189
another,186
them,179
mean,178
thing,174
had,174
show,173
our,172
mine,172
said,170
him,170
his,168
real,167
or,161
other,158
but,154
help,152
from,149
tell,149
kind,149
cut,146
she,141
maybe,139
way,138
find,137
found,137
off,137
three,136
over,132
her,131
after,130
through,129
about,127
outside,125
say,124
part,122
goes,121
use,120
went,120
school,115
back,114
people,111
does,111
again,110
water,109
should,108
doing,107
already,107
by,104
red,100
who,99
playing,99
has,96
thought,95
turn,95
read,93
much,93
still,93
let,90
well,89
wanted,89
as,87
getting,87
home,86
hold,84
new,84
fish,84
house,83
making,81
very,81
first,81
cold,78
played,78
hear,78
into,77
boy,77
came,76
better,76
than,75
which,75
four,75
hit,73
even,73
fell,73
try,72
different,72
ready,70
things,70
book,69
day,68
almost,68
trying,66
five,66
picture,64
bring,64
fire,64
last,63
stuff,63
green,62
nice,62
game,62
hard,62
their,61
told,60
white,60
remember,60
sometimes,59
sure,59
stay,58
car,57
anything,57
love,57
name,57
never,57
ones,57
drink,56
sit,56
keep,56
looks,55
work,55
might,55
baby,55
while,54
wait,54
old,54
light,53
please,52
gets,52
give,51
both,51
same,50
open,50
away,50
someone,48
only,48
run,47
ball,47
am,47
paper,46
been,46
happened,46
move,46
blue,46
leave,45
call,45
today,45
man,45
head,45
coming,44
looking,44
comes,44
talking,43
happy,42
under,42
next,42
until,42
before,42
break,41
somebody,41
write,40
eyes,40
seven,39
started,39
side,38
feet,38
black,38
rest,38
hand,38
hands,38
stand,37
close,37
bad,37
top,37
also,36
else,36
night,36
nothing,36
lot,35
far,35
done,34
inside,34
myself,34
bit,34
table,34
talk,34
bed,34
feel,34
high,33
whole,33
makes,33
tonight,32
daddy,32
hope,32
sort,31
buy,31
short,31
us,30
probably,30
must,30
door,30
tomorrow,30
many,30
round,30
wrong,30
around,29
took,29
always,29
later,29
idea,28
