Word,Frequency
the,11991
a,9866
and,6756
is,5140
it,4556
you,4314
this,4239
to,4008
no,3994
in,3065
that,2860
what,2707
on,2027
want,2009
my,1982
he,1897
go,1806
one,1763
do,1620
can,1619
like,1571
where,1508
oh,1483
wanna,1283
are,1265
gonna,1258
of,1204
we,1164
put,1128
for,1122
look,1083
have,1063
get,1049
yeah,1049
they,979
was,974
with,950
not,928
make,880
did,870
some,868
there,868
up,863
see,861
she,844
all,817
think,805
at,794
big,787
but,771
little,754
be,726
two,718
why,718
his,698
read,692
me,662
your,653
blue,650
how,644
play,623
now,615
going,570
here,569
take,566
over,557
more,556
need,539
has,532
does,532
another,528
other,512
baby,493
come,485
her,485
eat,484
got,475
right,472
green,452
out,441
so,434
then,432
will,432
down,432
red,429
just,394
too,392
who,382
goes,370
i,356
three,349
back,343
something,335
yes,335
maybe,322
them,314
find,306
because,297
about,297
water,292
open,290
say,275
off,273
help,266
these,264
those,264
give,263
book,262
when,261
mm,258
doing,246
an,246
good,245
know,244
new,233
thank,229
watch,224
making,223
love,223
wants,222
sit,216
if,212
or,208
from,206
turn,206
had,203
said,200
him,198
okay,194
ball,193
let,193
name,192
daddy,190
am,188
try,186
says,181
into,180
car,178
please,177
looking,174
made,169
four,169
use,169
white,167
could,163
fire,160
very,159
ooh,155
looks,152
happy,150
cut,148
were,146
hold,146
five,145
coming,142
would,142
called,135
way,130
needs,130
came,129
went,128
by,127
under,126
ah,124
time,123
black,122
done,122
fell,120
mean,119
away,115
six,114
getting,110
found,110
hello,110
well,109
next,107
their,107
top,106
after,101
might,101
around,100
bring,99
playing,98
seven,96
sitting,96
kind,96
really,95
eight,94
trying,90
long,90
which,89
else,89
nice,89
stop,88
any,87
saw,87
old,86
our,86
different,83
house,81
still,81
cause,81
ready,80
picture,80
taking,79
again,79
stay,79
having,78
same,77
hit,77
took,76
bed,75
someone,75
thing,71
nine,71
keep,71
ones,70
number,68
wanted,68
night,67
drink,66
girl,66
wait,66
home,65
lot,65
hair,65
show,65
its,65
things,65
leave,64
buy,64
should,63
comes,63
dad,62
walk,61
great,61
move,61
as,61
head,59
box,58
only,57
close,57
live,57
first,56
person,56
people,56
day,55
call,55
tell,54
school,54
bit,53
somebody,53
stand,51
special,51
hard,50
side,50
boy,50
high,50
mother,50
police,50
feel,49
much,49
actually,49
small,49
paper,49
through,48
inside,48
friends,48
fish,48
while,48
door,48
round,47
talk,47
ten,47
many,47
always,46
food,46
even,46
outside,46
us,46
part,46
ha,45
morning,45
gave,45
cold,45
last,45
cup,44
gets,44
used,44
man,43
never,43
both,43
present,43
match,42
hear,42
already,42
eyes,42
run,42
lost,41
